id_municipio,sigla_uf,domicilios,populacao,area,taxa_alfabetizacao,idade_mediana,razao_sexo,indice_envelhecimento,populacao_indigena,populacao_indigena_terra_indigena,populacao_quilombola,populacao_quilombola_territorio_quilombola
1712801,TO,998,3094,736,0.83113,30,106.2,36.05,483,459,0,0
1721000,TO,105997,301512,2227,0.96887,30,95.29,23.41,590,0,6,0
1721208,TO,7384,22474,1084,0.90035,30,97.46,37.76,2352,2177,0,0
1720804,TO,3260,10814,307,0.8423,30,101.98,40.15,9,0,0,0
1710508,TO,2161,6819,3047,0.86641,30,106.2,42.46,1195,1132,0,0
1718006,TO,922,2865,507,0.84111,30,106.19,37.99,1,0,325,0
1700301,TO,1440,4494,237,0.90328,30,100.22,38.25,4,0,0,0
1701002,TO,3182,10151,1581,0.86393,30,103.01,39.41,9,0,0,0
1702109,TO,57633,170778,4005,0.93667,30,94.49,32.28,357,0,30,0
1718501,TO,1043,3419,2216,0.78458,30,131.62,34.25,5,0,0,0
1702208,TO,10210,31834,2633,0.85262,30,101.39,38.03,41,0,81,7
1705508,TO,11817,34092,842,0.91104,30,96.88,34.68,75,0,0,0
1720101,TO,1705,5631,1100,0.86343,30,108.56,34.87,115,31,0,0
1700400,TO,2079,6475,4007,0.8463,30,107.17,39.09,2,0,136,0
1718865,TO,2362,7149,1671,0.86665,30,103.27,32.95,405,371,668,388
1708254,TO,1145,3451,624,0.90961,30,100.64,34.12,7,0,0,0
1716505,TO,4739,13966,2020,0.92558,30,103.05,33.4,97,61,0,0
2702504,AL,3265,9805,142,0.7273,31,99.37,48.77,28,0,314,0
2702603,AL,7399,22710,176,0.69554,31,97.82,40.48,390,286,0,0
2703403,AL,1632,5081,149,0.76231,31,99.1,36.92,0,0,1252,0
2702801,AL,3103,9616,334,0.7477,31,96.09,34.92,9,0,0,0
2703759,AL,2985,9453,334,0.79262,31,100.55,33.54,5,0,0,0
2706109,AL,3970,11446,197,0.76545,31,98.16,40.45,6,0,0,0
2709400,AL,7917,23988,368,0.7514,31,92.55,42.66,6,0,337,0
2707701,AL,31230,93887,294,0.8686,31,91.32,29.6,97,0,0,0
2707503,AL,6511,20049,236,0.72693,31,95.29,39.56,2518,2245,67,0
